state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
OR,41027-8,321,214,570,0.1877,true
OR,41027-9,104,97,210,0.0333,true
OR,41027-1,1218,337,1635,0.5388,true
OR,41027-5,519,372,921,0.1596,true
OR,41027-2,1564,437,2069,0.5447,true
OR,41027-3,689,161,877,0.6021,true
OR,41027-4,1194,408,1655,0.4749,true
OR,41029-27,136,402,553,-0.481,true
OR,41029-43,521,1133,1691,-0.3619,true
OR,41029-24,534,1219,1790,-0.3827,true
OR,41029-30,59,152,218,-0.4266,true
OR,41029-23,441,806,1280,-0.2852,true
OR,41029-9,222,448,689,-0.328,true
OR,41029-10,1318,903,2287,0.1815,true
OR,41029-46,2846,374,3327,0.743,true
OR,41029-31,238,858,1123,-0.5521,true
OR,41029-42,458,1286,1798,-0.4605,true
OR,41029-7,493,1031,1562,-0.3444,true
OR,41029-3,160,532,714,-0.521,true
OR,41029-28,525,1552,2124,-0.4835,true
OR,41029-36,1014,2206,3326,-0.3584,true
OR,41029-37,721,397,1161,0.2791,true
OR,41029-26,2005,952,3082,0.3417,true
OR,41029-34,341,1261,1644,-0.5596,true
OR,41029-44,944,2161,3181,-0.3826,true
OR,41029-2,3052,595,3792,0.6479,true
OR,41029-39,1068,1178,2321,-0.0474,true
OR,41029-13,1659,1916,3676,-0.0699,true
OR,41029-6,840,1480,2390,-0.2678,true
OR,41029-12,1551,1878,3531,-0.0926,true
OR,41029-25,2267,865,3254,0.4309,true
OR,41029-22,1172,957,2222,0.0968,true
OR,41029-14,908,1030,1994,-0.0612,true
OR,41029-45,146,196,360,-0.1389,true
OR,41029-11,1604,2385,4109,-0.1901,true
OR,41029-16,2285,1896,4302,0.0904,true
OR,41029-20,1421,1696,3230,-0.0851,true
OR,41029-17,1696,2266,4105,-0.1389,true
OR,41029-18,1019,1204,2315,-0.0799,true
OR,41029-5,1318,2240,3683,-0.2503,true
OR,41029-48,853,1688,2608,-0.3202,true
OR,41029-4,792,1637,2498,-0.3383,true
OR,41029-21,749,972,1777,-0.1255,true
OR,41029-32,585,908,1537,-0.2101,true
OR,41029-41,1210,2811,4129,-0.3877,true
OR,41029-35,954,1306,2349,-0.1499,true
OR,41029-1,3021,392,3528,0.7452,true
OR,41029-47,2185,327,2622,0.7086,true
OR,41029-40,447,1284,1773,-0.4721,true
OR,41029-38,307,643,973,-0.3453,true
OR,41029-8,727,2124,2932,-0.4765,true
OR,41029-49,1650,2063,3836,-0.1077,true
OR,41029-29,408,670,1113,-0.2354,true
OR,41029-50,1206,1722,3022,-0.1707,true
